Transcript stable ID
ENSVPAT00000000002
ENSVPAT00000000003
ENSVPAT00000000004
ENSVPAT00000000005
ENSVPAT00000000006
ENSVPAT00000000007
ENSVPAT00000000008
ENSVPAT00000000009
ENSVPAT00000000010
ENSVPAT00000000011
ENSVPAT00000000012
ENSVPAT00000000013
ENSVPAT00000000014
ENSVPAT00000000015
ENSVPAT00000000016
ENSVPAT00000000017
ENSVPAT00000000018
ENSVPAT00000000019
ENSVPAT00000000020
ENSVPAT00000000021
ENSVPAT00000000022
ENSVPAT00000000023
ENSVPAT00000000024
ENSVPAT00000000025
ENSVPAT00000000026
ENSVPAT00000000027
ENSVPAT00000000028
ENSVPAT00000000029
ENSVPAT00000000030
ENSVPAT00000000031
ENSVPAT00000000032
ENSVPAT00000000033
ENSVPAT00000000034
ENSVPAT00000000035
ENSVPAT00000000036
ENSVPAT00000000037
ENSVPAT00000000038
ENSVPAT00000000039
ENSVPAT00000000040
ENSVPAT00000000041
ENSVPAT00000000042
ENSVPAT00000000043
ENSVPAT00000000044
ENSVPAT00000000045
ENSVPAT00000000046
ENSVPAT00000000047
ENSVPAT00000000048
ENSVPAT00000000049
ENSVPAT00000000050
ENSVPAT00000000051
ENSVPAT00000000052
ENSVPAT00000000053
ENSVPAT00000000054
ENSVPAT00000000055
ENSVPAT00000000056
ENSVPAT00000000057
ENSVPAT00000000058
ENSVPAT00000000059
ENSVPAT00000000060
ENSVPAT00000000061
ENSVPAT00000000062
ENSVPAT00000000063
ENSVPAT00000000064
ENSVPAT00000000065
ENSVPAT00000000066
ENSVPAT00000000067
ENSVPAT00000000068
ENSVPAT00000000069
ENSVPAT00000000070
ENSVPAT00000000071
ENSVPAT00000000072
ENSVPAT00000000073
ENSVPAT00000000074
ENSVPAT00000000075
ENSVPAT00000000076
ENSVPAT00000000077
ENSVPAT00000000078
ENSVPAT00000000079
ENSVPAT00000000080
ENSVPAT00000000081
ENSVPAT00000000082
ENSVPAT00000000083
ENSVPAT00000000084
ENSVPAT00000000085
ENSVPAT00000000086
ENSVPAT00000000087
ENSVPAT00000000088
ENSVPAT00000000089
ENSVPAT00000000090
ENSVPAT00000000091
ENSVPAT00000000092
ENSVPAT00000000093
ENSVPAT00000000094
ENSVPAT00000000095
ENSVPAT00000000096
ENSVPAT00000000097
ENSVPAT00000000099
ENSVPAT00000000100
ENSVPAT00000000101
ENSVPAT00000000102
ENSVPAT00000000103
ENSVPAT00000000104
ENSVPAT00000000105
ENSVPAT00000000106
ENSVPAT00000000107
ENSVPAT00000000108
ENSVPAT00000000109
ENSVPAT00000000110
ENSVPAT00000000111
ENSVPAT00000000112
ENSVPAT00000000113
ENSVPAT00000000114
ENSVPAT00000000115
ENSVPAT00000000116
ENSVPAT00000000117
ENSVPAT00000000118
ENSVPAT00000000119
ENSVPAT00000000120
ENSVPAT00000000121
ENSVPAT00000000122
ENSVPAT00000000123
ENSVPAT00000000124
ENSVPAT00000000125
ENSVPAT00000000126
ENSVPAT00000000127
ENSVPAT00000000128
ENSVPAT00000000129
ENSVPAT00000000130
ENSVPAT00000000131
ENSVPAT00000000132
ENSVPAT00000000133
ENSVPAT00000000134
ENSVPAT00000000135
ENSVPAT00000000136
ENSVPAT00000000137
ENSVPAT00000000138
ENSVPAT00000000139
ENSVPAT00000000140
ENSVPAT00000000141
ENSVPAT00000000142
ENSVPAT00000000143
ENSVPAT00000000144
ENSVPAT00000000145
ENSVPAT00000000146
